customerId,description,purchase_by_invoice,purchase_total_amount,purchase_streek,next_streek_purchase_amount,remaining_amount,is_eligible_customer,offer_eligibility
1001,WHITE HANGING HEART T-LIGHT HOLDER,24,982,20,2100,1118,1,40
1002,WHITE METAL LANTERN,26,658,20,2100,1442,1,40
1003,CREAM CUPID HEARTS COAT HANGER,10,804,25,2600,1796,1,50
1004,KNITTED UNION FLAG HOT WATER BOTTLE,34,100,0,100,0,1,0
1005,RED WOOLLY HOTTIE WHITE HEART.,21,1472,20,2100,628,1,40
1006,SET 7 BABUSHKA NESTING BOXES,28,1624,25,2600,976,1,50
1007,GLASS STAR FROSTED T-LIGHT HOLDER,31,535,6,700,165,1,12
1008,HAND WARMER UNION JACK,35,670,17,1800,1130,1,34
1009,HAND WARMER RED POLKA DOT,4,2070,22,2300,230,1,44
1010,ASSORTED COLOUR BIRD ORNAMENT,21,935,20,2100,1165,1,40
1011,POPPY'S PLAYHOUSE BEDROOM ,33,147,3,400,253,1,6
1012,POPPY'S PLAYHOUSE KITCHEN,21,449,11,1200,751,1,22
1013,FELTCRAFT PRINCESS CHARLOTTE DOLL,19,795,19,2000,1205,1,38
1014,IVORY KNITTED MUG COSY ,10,413,4,500,87,1,8
1015,BOX OF 6 ASSORTED COLOUR TEASPOONS,33,355,5,600,245,1,10
1016,BOX OF VINTAGE JIGSAW BLOCKS ,21,527,23,2400,1873,1,46
1017,BOX OF VINTAGE ALPHABET BLOCKS,27,1069,15,1600,531,1,30
1018,HOME BUILDING BLOCK WORD,24,254,2,300,46,1,4
1019,LOVE BUILDING BLOCK WORD,24,651,9,1000,349,1,18
1020,RECIPE BOX WITH METAL HEART,17,615,16,1700,1085,1,32
1021,DOORMAT NEW ENGLAND,8,598,21,2200,1602,1,42
1022,JAM MAKING SET WITH JARS,27,1584,15,1600,16,1,30
1023,RED COAT RACK PARIS FASHION,19,100,0,100,0,1,0
1024,YELLOW COAT RACK PARIS FASHION,24,183,5,600,417,1,10
1025,BLUE COAT RACK PARIS FASHION,27,1626,17,1800,174,1,34
1026,BATH BUILDING BLOCK WORD,11,329,5,600,271,1,10
1027,ALARM CLOCK BAKELIKE PINK,14,332,5,600,268,1,10
1028,ALARM CLOCK BAKELIKE RED ,9,703,15,1600,897,1,30
1029,ALARM CLOCK BAKELIKE GREEN,27,478,10,1100,622,1,20
1030,PANDA AND BUNNIES STICKER SHEET,19,680,8,900,220,1,16
1031,STARS GIFT TAPE ,34,1306,21,2200,894,1,42
1032,INFLATABLE POLITICAL GLOBE ,30,1770,18,1900,130,1,36
1033,VINTAGE HEADS AND TAILS CARD GAME ,25,429,18,1900,1471,1,36
1034,SET/2 RED RETROSPOT TEA TOWELS ,24,751,18,1900,1149,1,36
1035,ROUND SNACK BOXES SET OF4 WOODLAND ,2,1156,20,2100,944,1,40
1036,SPACEBOY LUNCH BOX ,25,1982,19,2000,18,1,38
1037,LUNCH BOX I LOVE LONDON,10,137,6,700,563,1,12
1038,CIRCUS PARADE LUNCH BOX ,10,337,8,900,563,1,16
1039,CHARLOTTE BAG DOLLY GIRL DESIGN,2,421,4,500,79,1,8
1040,RED TOADSTOOL LED NIGHT LIGHT,5,546,5,600,54,1,10
1041, SET 2 TEA TOWELS I LOVE LONDON ,6,385,6,700,315,1,12
1042,VINTAGE SEASIDE JIGSAW PUZZLES,16,565,9,1000,435,1,18
1043,MINI JIGSAW CIRCUS PARADE ,22,770,8,900,130,1,16
1044,MINI JIGSAW SPACEBOY,31,483,6,700,217,1,12
1045,MINI PAINT SET VINTAGE ,35,862,13,1400,538,1,26
1046,POSTAGE,25,542,24,2500,1958,1,48
1047,PAPER CHAIN KIT 50'S CHRISTMAS ,34,1719,25,2600,881,1,50
1048,HAND WARMER RED POLKA DOT,15,1132,16,1700,568,1,32
1049,HAND WARMER UNION JACK,5,888,8,900,12,1,16
1050,WHITE HANGING HEART T-LIGHT HOLDER,33,1142,25,2600,1458,1,50
1051,WHITE METAL LANTERN,20,1830,20,2100,270,1,40
1052,CREAM CUPID HEARTS COAT HANGER,6,793,7,800,7,1,14
1053,EDWARDIAN PARASOL RED,29,726,12,1300,574,1,24
1054,RETRO COFFEE MUGS ASSORTED,22,190,2,300,110,1,4
1055,SAVE THE PLANET MUG,33,1933,24,2500,567,1,48
1056,VINTAGE BILLBOARD DRINK ME MUG,29,1152,23,2400,1248,1,46
1057,VINTAGE BILLBOARD LOVE/HATE MUG,27,482,4,500,18,1,8
1058,WOOD 2 DRAWER CABINET WHITE FINISH,11,616,10,1100,484,1,20
1059,WOOD S/3 CABINET ANT WHITE FINISH,21,100,0,100,0,1,0
1060,WOODEN PICTURE FRAME WHITE FINISH,35,1304,25,2600,1296,1,50
1061,WOODEN FRAME ANTIQUE WHITE ,3,1088,24,2500,1412,1,48
1062,KNITTED UNION FLAG HOT WATER BOTTLE,16,188,1,200,12,1,2
1063,RED WOOLLY HOTTIE WHITE HEART.,9,245,15,1600,1355,1,30
1064,SET 7 BABUSHKA NESTING BOXES,8,1063,14,1500,437,1,28
1065,GLASS STAR FROSTED T-LIGHT HOLDER,1,1661,24,2500,839,1,48
1066,VICTORIAN SEWING BOX LARGE,11,665,14,1500,835,1,28
1067,WHITE HANGING HEART T-LIGHT HOLDER,21,1225,24,2500,1275,1,48
1068,WHITE METAL LANTERN,15,207,13,1400,1193,1,26
1069,CREAM CUPID HEARTS COAT HANGER,24,355,10,1100,745,1,20
1070,EDWARDIAN PARASOL RED,24,387,8,900,513,1,16
1071,RETRO COFFEE MUGS ASSORTED,14,989,18,1900,911,1,36
1072,SAVE THE PLANET MUG,24,1627,25,2600,973,1,50
1073,VINTAGE BILLBOARD DRINK ME MUG,33,176,6,700,524,1,12
1074,VINTAGE BILLBOARD LOVE/HATE MUG,24,320,6,700,380,1,12
1075,WOOD 2 DRAWER CABINET WHITE FINISH,23,532,6,700,168,1,12
1076,WOOD S/3 CABINET ANT WHITE FINISH,1,2566,25,2600,34,1,50
1077,WOODEN PICTURE FRAME WHITE FINISH,25,396,9,1000,604,1,18
1078,WOODEN FRAME ANTIQUE WHITE ,8,152,18,1900,1748,1,36
1079,KNITTED UNION FLAG HOT WATER BOTTLE,27,682,6,700,18,1,12
1080,RED WOOLLY HOTTIE WHITE HEART.,23,251,2,300,49,1,4
1081,SET 7 BABUSHKA NESTING BOXES,4,1449,25,2600,1151,1,50
1082,GLASS STAR FROSTED T-LIGHT HOLDER,4,173,8,900,727,1,16
1083,HOT WATER BOTTLE TEA AND SYMPATHY,19,283,8,900,617,1,16
1084,RED HANGING HEART T-LIGHT HOLDER,9,152,1,200,48,1,2
1085,HAND WARMER RED POLKA DOT,3,566,6,700,134,1,12
1086,HAND WARMER UNION JACK,14,809,23,2400,1591,1,46
1087,JUMBO BAG PINK POLKADOT,4,1793,25,2600,807,1,50
1088,JUMBO  BAG BAROQUE BLACK WHITE,3,2284,24,2500,216,1,48
1089,JUMBO BAG CHARLIE AND LOLA TOYS,13,299,7,800,501,1,14
1090,STRAWBERRY CHARLOTTE BAG,13,420,7,800,380,1,14
1091,RED 3 PIECE RETROSPOT CUTLERY SET,1,909,19,2000,1091,1,38
1092,BLUE 3 PIECE POLKADOT CUTLERY SET,5,1823,21,2200,377,1,42
1093,SET/6 RED SPOTTY PAPER PLATES,28,413,21,2200,1787,1,42
1094,LUNCH BAG RED RETROSPOT,31,2056,21,2200,144,1,42
1095,STRAWBERRY LUNCH BOX WITH CUTLERY,19,556,13,1400,844,1,26
1096,LUNCH BOX WITH CUTLERY RETROSPOT ,4,1741,19,2000,259,1,38
1097,PACK OF 72 RETROSPOT CAKE CASES,12,341,6,700,359,1,12
1098,PACK OF 60 DINOSAUR CAKE CASES,20,719,14,1500,781,1,28
1099,PACK OF 60 PINK PAISLEY CAKE CASES,32,747,16,1700,953,1,32
1100,60 TEATIME FAIRY CAKE CASES,18,378,14,1500,1122,1,28
1101,TOMATO CHARLIE+LOLA COASTER SET,19,461,13,1400,939,1,26
1102,CHARLIE & LOLA WASTEPAPER BIN FLORA,13,272,11,1200,928,1,22
1103,RED CHARLIE+LOLA PERSONAL DOORSIGN,15,114,6,700,586,1,12
1104,JUMBO STORAGE BAG SUKI,8,410,8,900,490,1,16
1105,JUMBO BAG PINK VINTAGE PAISLEY,10,1026,12,1300,274,1,24
1106,JAM MAKING SET PRINTED,33,200,1,200,0,1,2
1107,RETROSPOT TEA SET CERAMIC 11 PC ,35,1873,24,2500,627,1,48
1108,GIRLY PINK TOOL SET,8,148,8,900,752,1,16
1109,JUMBO SHOPPER VINTAGE RED PAISLEY,18,1053,23,2400,1347,1,46
1110,"AIRLINE LOUNGE,METAL SIGN",18,1811,20,2100,289,1,40
1111,WHITE SPOT RED CERAMIC DRAWER KNOB,17,454,10,1100,646,1,20
1112,RED DRAWER KNOB ACRYLIC EDWARDIAN,18,1390,19,2000,610,1,38
1113,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,3,536,12,1300,764,1,24
1114,PHOTO CLIP LINE,2,1229,13,1400,171,1,26
1115,FELT EGG COSY CHICKEN,5,625,9,1000,375,1,18
1116,PIGGY BANK RETROSPOT ,27,758,23,2400,1642,1,46
1117,SKULL SHOULDER BAG,2,446,22,2300,1854,1,44
1118,YOU'RE CONFUSING ME METAL SIGN ,10,100,0,100,0,1,0
1119,COOK WITH WINE METAL SIGN ,5,1542,23,2400,858,1,46
1120,GIN + TONIC DIET METAL SIGN,23,509,10,1100,591,1,20
1121,YELLOW BREAKFAST CUP AND SAUCER,8,1071,13,1400,329,1,26
1122,PINK BREAKFAST CUP AND SAUCER ,34,160,1,200,40,1,2
1123,PAPER CHAIN KIT 50'S CHRISTMAS ,3,792,17,1800,1008,1,34
1124,PAPER CHAIN KIT RETROSPOT,27,1814,18,1900,86,1,36
1125,SMALL HEART FLOWERS HOOK ,24,617,10,1100,483,1,20
1126,PHOTO CLIP LINE,4,342,11,1200,858,1,22
1127,TEA TIME DES TEA COSY,18,872,9,1000,128,1,18
1128,FELT EGG COSY WHITE RABBIT ,23,171,13,1400,1229,1,26
1129,ZINC WILLIE WINKIE  CANDLE STICK,14,242,2,300,58,1,4
1130,CERAMIC CHERRY CAKE MONEY BANK,17,348,23,2400,2052,1,46
1131,RETROSPOT LARGE MILK JUG,6,2369,25,2600,231,1,50
1132,SET OF 6 FUNKY BEAKERS,22,121,2,300,179,1,4
1133,EDWARDIAN PARASOL BLACK,34,1898,19,2000,102,1,38
1134,EDWARDIAN PARASOL NATURAL,20,633,11,1200,567,1,22
1135,CERAMIC STRAWBERRY CAKE MONEY BANK,33,196,13,1400,1204,1,26
1136,BLUE OWL SOFT TOY,34,480,5,600,120,1,10
1137,BALLOON ART MAKE YOUR OWN FLOWERS,18,575,5,600,25,1,10
1138,RED TOADSTOOL LED NIGHT LIGHT,7,366,24,2500,2134,1,48
1139,GLASS CLOCHE SMALL,30,1884,23,2400,516,1,46
1140,GUMBALL MONOCHROME COAT RACK,17,2170,21,2200,30,1,42
1141,DOORMAT FANCY FONT HOME SWEET HOME,17,193,5,600,407,1,10
1142,Discount,30,121,3,400,279,1,6
1143,INFLATABLE POLITICAL GLOBE ,23,453,9,1000,547,1,18
1144,VINTAGE SNAKES & LADDERS,11,420,9,1000,580,1,18
1145,CHOCOLATE CALCULATOR,33,154,22,2300,2146,1,44
1146,JUMBO SHOPPER VINTAGE RED PAISLEY,8,138,2,300,162,1,4
1147,RECYCLING BAG RETROSPOT ,8,589,25,2600,2011,1,50
1148,TOY TIDY PINK POLKADOT,25,1829,22,2300,471,1,44
1149,ANTIQUE GLASS DRESSING TABLE POT,29,246,2,300,54,1,4
1150,ALARM CLOCK BAKELIKE GREEN,27,1085,10,1100,15,1,20
1151,IVORY GIANT GARDEN THERMOMETER,27,210,15,1600,1390,1,30
1152,3 TIER CAKE TIN GREEN AND CREAM,31,447,17,1800,1353,1,34
1153,3 TIER CAKE TIN RED AND CREAM,30,975,11,1200,225,1,22
1154,SET 3 WICKER OVAL BASKETS W LIDS,24,267,8,900,633,1,16
1155,SET OF 3 COLOURED  FLYING DUCKS,2,1092,21,2200,1108,1,42
1156,WOOD BLACK BOARD ANT WHITE FINISH,6,463,8,900,437,1,16
1157,COLOUR GLASS T-LIGHT HOLDER HANGING,35,189,16,1700,1511,1,32
1158,HANGING METAL HEART LANTERN,15,115,1,200,85,1,2
1159,HANGING MEDINA LANTERN SMALL,9,242,2,300,58,1,4
1160,NATURAL SLATE HEART CHALKBOARD ,28,141,1,200,59,1,2
1161,HEART OF WICKER SMALL,13,100,0,100,0,1,0
1162,HEART OF WICKER LARGE,16,300,12,1300,1000,1,24
1163,WHITE LOVEBIRD LANTERN,17,202,4,500,298,1,8
1164,CLASSIC METAL BIRDCAGE PLANT HOLDER,35,100,0,100,0,1,0
1165,CREAM HEART CARD HOLDER,26,1670,20,2100,430,1,40
1166,ENAMEL FLOWER JUG CREAM,4,1202,16,1700,498,1,32
1167,ENAMEL FIRE BUCKET CREAM,19,923,17,1800,877,1,34
1168,ENAMEL BREAD BIN CREAM,13,357,3,400,43,1,6
1169,SET 3 WICKER OVAL BASKETS W LIDS,26,2189,25,2600,411,1,50
1170,JAM MAKING SET PRINTED,16,100,0,100,0,1,0
1171,JAM MAKING SET WITH JARS,32,433,9,1000,567,1,18
1172,JUMBO BAG DOLLY GIRL DESIGN,20,2465,25,2600,135,1,50
1173,TRADITIONAL CHRISTMAS RIBBONS,6,144,1,200,56,1,2
1174,ORGANISER WOOD ANTIQUE WHITE ,17,1113,20,2100,987,1,40
1175,LUNCH BAG DOLLY GIRL DESIGN,28,357,10,1100,743,1,20
1176,WHITE WIRE EGG HOLDER,14,249,2,300,51,1,4
1177,JUMBO  BAG BAROQUE BLACK WHITE,2,1487,15,1600,113,1,30
1178,JUMBO BAG RED RETROSPOT,25,332,7,800,468,1,14
1179,CHILLI LIGHTS,26,348,21,2200,1852,1,42
1180,LIGHT GARLAND BUTTERFILES PINK,26,638,22,2300,1662,1,44
1181,WOODEN OWLS LIGHT GARLAND ,27,1358,13,1400,42,1,26
1182,FAIRY TALE COTTAGE NIGHTLIGHT,32,346,6,700,354,1,12
1183,RED TOADSTOOL LED NIGHT LIGHT,35,1804,24,2500,696,1,48
1184,HOME BUILDING BLOCK WORD,5,149,3,400,251,1,6
1185,LOVE BUILDING BLOCK WORD,1,299,2,300,1,1,4
1186,DOORMAT FANCY FONT HOME SWEET HOME,32,235,2,300,65,1,4
1187,HOME SMALL WOOD LETTERS,2,824,19,2000,1176,1,38
1188,GINGHAM HEART  DOORSTOP RED,9,107,2,300,193,1,4
1189,FIVE HEART HANGING DECORATION,6,987,12,1300,313,1,24
1190,HANGING METAL HEART LANTERN,23,292,13,1400,1108,1,26
1191,ASSORTED BOTTLE TOP  MAGNETS ,27,177,2,300,123,1,4
1192,FRIDGE MAGNETS US DINER ASSORTED,33,617,13,1400,783,1,26
1193,HOMEMADE JAM SCENTED CANDLES,33,109,3,400,291,1,6
1194,FRIDGE MAGNETS LES ENFANTS ASSORTED,2,1520,18,1900,380,1,36
1195,ROSE CARAVAN DOORSTOP,32,573,25,2600,2027,1,50
1196,HEART OF WICKER SMALL,35,2402,25,2600,198,1,50
1197,5 HOOK HANGER MAGIC TOADSTOOL,27,523,18,1900,1377,1,36
1198,CHRISTMAS LIGHTS 10 REINDEER,33,602,13,1400,798,1,26
1199,VINTAGE UNION JACK CUSHION COVER,15,139,2,300,161,1,4
1200,VINTAGE HEADS AND TAILS CARD GAME ,3,569,9,1000,431,1,18
1201,SET OF 3 COLOURED  FLYING DUCKS,24,100,0,100,0,1,0
1202,SET OF 3 GOLD FLYING DUCKS,7,145,3,400,255,1,6
1203,RED RETROSPOT UMBRELLA,5,1581,21,2200,619,1,42
1204,BLACK/BLUE POLKADOT UMBRELLA,26,290,25,2600,2310,1,50
1205,RED DINER WALL CLOCK,7,204,10,1100,896,1,20
1206,ALARM CLOCK BAKELIKE GREEN,23,2228,23,2400,172,1,46
1207,ALARM CLOCK BAKELIKE RED ,4,883,22,2300,1417,1,44
1208,BLUE DINER WALL CLOCK,15,221,3,400,179,1,6
1209,IVORY DINER WALL CLOCK,30,304,4,500,196,1,8
1210,LARGE HEART MEASURING SPOONS,13,1020,12,1300,280,1,24
1211,SMALL HEART MEASURING SPOONS,5,996,16,1700,704,1,32
1212,CHRISTMAS LIGHTS 10 REINDEER,23,699,8,900,201,1,16
1213,JAM MAKING SET WITH JARS,1,298,2,300,2,1,4
1214,JAM MAKING SET PRINTED,3,100,0,100,0,1,0
1215,JAM JAR WITH PINK LID,5,1010,11,1200,190,1,22
1216,JAM JAR WITH GREEN LID,8,199,2,300,101,1,4
1217,ROSE COTTAGE KEEPSAKE BOX ,15,1125,12,1300,175,1,24
1218,HANGING HEART ZINC T-LIGHT HOLDER,32,899,14,1500,601,1,28
1219,PAPER CHAIN KIT VINTAGE CHRISTMAS,8,527,8,900,373,1,16
1220,DISCO BALL CHRISTMAS DECORATION,29,1262,24,2500,1238,1,48
1221,WHITE HANGING HEART T-LIGHT HOLDER,20,151,8,900,749,1,16
1222,SMALL POPCORN HOLDER,32,1250,14,1500,250,1,28
1223,LARGE POPCORN HOLDER ,31,229,13,1400,1171,1,26
1224,RETROSPOT LARGE MILK JUG,28,552,9,1000,448,1,18
1225,SET/20 RED RETROSPOT PAPER NAPKINS ,3,553,6,700,147,1,12
1226,SET/6 RED SPOTTY PAPER PLATES,20,242,20,2100,1858,1,40
1227,SET/6 RED SPOTTY PAPER CUPS,33,235,2,300,65,1,4
1228,POLKADOT RAIN HAT ,20,704,15,1600,896,1,30
1229,DELUXE SEWING KIT ,23,107,2,300,193,1,4
1230,RETROSPOT HEART HOT WATER BOTTLE,26,1643,19,2000,357,1,38
1231,KNITTED UNION FLAG HOT WATER BOTTLE,31,147,1,200,53,1,2
1232,ENGLISH ROSE HOT WATER BOTTLE,21,780,8,900,120,1,16
1233,PHOTO CUBE,23,663,16,1700,1037,1,32
1234,HOMEMADE JAM SCENTED CANDLES,19,888,16,1700,812,1,32
1235,JUMBO BAG RED RETROSPOT,10,225,14,1500,1275,1,28
1236,PLASTERS IN TIN CIRCUS PARADE ,29,1964,23,2400,436,1,46
1237,PACK OF 12 PINK PAISLEY TISSUES ,17,2213,24,2500,287,1,48
1238,PACK OF 12 BLUE PAISLEY TISSUES ,12,1075,18,1900,825,1,36
1239,PACK OF 12 RED RETROSPOT TISSUES ,27,1296,21,2200,904,1,42
1240,CHICK GREY HOT WATER BOTTLE,21,557,13,1400,843,1,26
1241,PLASTERS IN TIN VINTAGE PAISLEY ,30,677,9,1000,323,1,18
1242,PLASTERS IN TIN SKULLS,8,629,11,1200,571,1,22
1243,3 STRIPEY MICE FELTCRAFT,28,1802,24,2500,698,1,48
1244,SET OF 6 SOLDIER SKITTLES,15,199,6,700,501,1,12
1245,TRADITIONAL WOODEN SKIPPING ROPE,4,246,3,400,154,1,6
1246,WOODEN BOX OF DOMINOES,35,1198,21,2200,1002,1,42
1247,RUSTIC  SEVENTEEN DRAWER SIDEBOARD,13,2464,25,2600,136,1,50
1248,PARTY CONES CARNIVAL ASSORTED,18,213,19,2000,1787,1,38
1249,PARTY CONES CANDY ASSORTED,8,454,15,1600,1146,1,30
1250,PICNIC BASKET WICKER SMALL,6,136,4,500,364,1,8
1251,ASSORTED COLOUR BIRD ORNAMENT,12,778,17,1800,1022,1,34
1252,STAR DECORATION PAINTED ZINC ,9,819,17,1800,981,1,34
1253,RETROSPOT LAMP,13,890,16,1700,810,1,32
1254,"FANCY FONT BIRTHDAY CARD, ",1,136,14,1500,1364,1,28
1255,HAND WARMER UNION JACK,17,385,14,1500,1115,1,28
1256,HAND WARMER SCOTTY DOG DESIGN,1,230,6,700,470,1,12
1257,HAND WARMER OWL DESIGN,9,126,5,600,474,1,10
1258,HAND WARMER RED RETROSPOT,22,841,17,1800,959,1,34
1259,RETROSPOT HEART HOT WATER BOTTLE,15,179,1,200,21,1,2
1260,DOG BOWL CHASING BALL DESIGN,13,885,8,900,15,1,16
1261,CLOTHES PEGS RETROSPOT PACK 24 ,11,1574,20,2100,526,1,40
1262,HAND OVER THE CHOCOLATE   SIGN ,33,692,7,800,108,1,14
1263,WHITE HANGING HEART T-LIGHT HOLDER,16,874,8,900,26,1,16
1264,TRAVEL SEWING KIT,26,214,22,2300,2086,1,44
1265,BLACK HEART CARD HOLDER,18,158,13,1400,1242,1,26
1266,ASSORTED COLOUR BIRD ORNAMENT,10,1317,18,1900,583,1,36
1267,PACK OF 60 PINK PAISLEY CAKE CASES,17,548,22,2300,1752,1,44
1268,60 TEATIME FAIRY CAKE CASES,26,264,10,1100,836,1,20
1269,PACK OF 72 RETROSPOT CAKE CASES,3,389,3,400,11,1,6
